id,name,accuracy,power,type,pp,effect_chance,priority,damage_class,generation_introduced,description,short_description,category
136,high-jump-kick,90.0,130.0,fighting,10,,0,physical,generation-i,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.

This move cannot be used while gravity is in effect.","If the user misses, it takes half the damage it would have inflicted in recoil.",
137,glare,100.0,,normal,30,,0,status,generation-i,Paralyzes the target.,Paralyzes the target.,
138,dream-eater,100.0,100.0,psychic,15,,0,special,generation-i,Fails if not used on a sleeping Pokémon.  Inflicts regular damage.  Drains half the damage inflicted to heal the user.,Only works on sleeping Pokémon.  Drains half the damage inflicted to heal the user.,
139,poison-gas,90.0,,poison,40,,0,status,generation-i,Poisons the target.,Poisons the target.,
140,barrage,85.0,15.0,normal,20,,0,physical,generation-i,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",Hits 2-5 times in one turn.,ball and bomb
141,leech-life,100.0,80.0,bug,10,,0,physical,generation-i,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,Drains half the damage inflicted to heal the user.,
142,lovely-kiss,75.0,,normal,10,,0,status,generation-i,Puts the target to sleep.,Puts the target to sleep.,
143,sky-attack,90.0,140.0,flying,5,30.0,0,physical,generation-i,"Inflicts regular damage.  User charges for one turn before attacking.  Critical hit chance is one level higher than normal.  Has a 30% chance to make the target flinch.

This move cannot be selected by sleep talk.",User charges for one turn before attacking.  Has a 30% chance to make the target flinch.,
144,transform,,,normal,10,,0,status,generation-i,"User copies the target’s species, weight, type, ability, calculated stats (except HP), and moves.  Copied moves will all have 5 PP remaining.  IVs are copied for the purposes of hidden power, but stats are not recalculated.

choice band, choice scarf, and choice specs stay in effect, and the user must select a new move.

This move cannot be copied by mirror move, nor forced by encore.",User becomes a copy of the target until it leaves battle.,
145,bubble,100.0,40.0,water,30,10.0,0,special,generation-i,Inflicts regular damage.  Has a 10% chance to lower the target’s Speed by one stage.,Has a 10% chance to lower the target’s Speed by one stage.,
146,dizzy-punch,100.0,70.0,normal,10,20.0,0,physical,generation-i,Inflicts regular damage.  Has a 20% chance to confuse the target.,Has a 20% chance to confuse the target.,punching
147,spore,100.0,,grass,15,,0,status,generation-i,Puts the target to sleep.,Puts the target to sleep.,powder and spore
148,flash,100.0,,normal,20,,0,status,generation-i,Lowers the target’s accuracy by one stage.,Lowers the target’s accuracy by one stage.,
149,psywave,100.0,,psychic,15,,0,special,generation-i,"Inflicts typeless damage between 50% and 150% of the user’s level, selected at random in increments of 10%.",Inflicts damage between 50% and 150% of the user’s level.,
150,splash,,,normal,40,,0,status,generation-i,"Does nothing.

This move cannot be used while gravity is in effect.",Does nothing.,
151,acid-armor,,,poison,20,,0,status,generation-i,Raises the user’s Defense by two stages.,Raises the user’s Defense by two stages.,
152,crabhammer,90.0,100.0,water,10,,0,physical,generation-i,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,Has an increased chance for a critical hit.,
153,explosion,100.0,250.0,normal,5,,0,physical,generation-i,"User faints, even if the attack fails or misses.  Inflicts regular damage.",User faints.,explosive
154,fury-swipes,80.0,18.0,normal,15,,0,physical,generation-i,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",Hits 2-5 times in one turn.,
155,bonemerang,90.0,50.0,ground,10,,0,physical,generation-i,Inflicts regular damage.  Hits twice in one turn.,Hits twice in one turn.,
156,rest,,,psychic,5,,0,status,generation-i,"User falls to sleep and immediately regains all its HP.  If the user has another major status effect, sleep will replace it.  The user will always wake up after two turns, or one turn with early bird.

This move fails if the Pokémon cannot fall asleep due to uproar, insomnia, or vital spirit.  It also fails if the Pokémon is at full health or is already asleep.","User sleeps for two turns, completely healing itself.",
157,rock-slide,90.0,75.0,rock,10,30.0,0,physical,generation-i,Inflicts regular damage.  Has a 30% chance to make the target flinch.,Has a 30% chance to make the target flinch.,
158,hyper-fang,90.0,80.0,normal,15,10.0,0,physical,generation-i,Inflicts regular damage.  Has a 10% chance to make the target flinch.,Has a 10% chance to make the target flinch.,biting
159,sharpen,,,normal,30,,0,status,generation-i,Raises the user’s Attack by one stage.,Raises the user’s Attack by one stage.,
160,conversion,,,normal,30,,0,status,generation-i,"User’s type changes to the type of one of its moves, selected at random.  hidden power and weather ball are treated as normal.  Only moves with a different type are eligible, and curse is never eligible.  If the user has no suitable moves, this move will fail.",User’s type changes to the type of one of its moves at random.,
161,tri-attack,100.0,80.0,normal,10,20.0,0,special,generation-i,"Inflicts regular damage.  Has a 20% chance to burn, freeze, or paralyze the target.  One of these effects is selected at random; they do not each have independent chances to occur.","Has a 20% chance to burn, freeze, or paralyze the target.",
162,super-fang,90.0,,normal,10,,0,physical,generation-i,Inflicts typeless damage equal to half the target’s remaining HP.,Inflicts damage equal to half the target’s HP.,
163,slash,100.0,70.0,normal,20,,0,physical,generation-i,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,Has an increased chance for a critical hit.,slicing
164,substitute,,,normal,10,,0,status,generation-i,"Transfers 1/4 the user’s max HP into a doll that absorbs damage and causes most negative move effects to fail.  If the user leaves the field, the doll will vanish.  If the user cannot pay the HP cost, this move will fail.

The doll takes damage as normal, using the user’s stats and types, and will break when its HP reaches zero.  Self-inflicted damage from confusion or recoil is not absorbed.  Healing effects from opponents ignore the doll and heal the user as normal.  Moves that work based on the user’s HP still do so; the doll’s HP does not influence any move.

The doll will block major status effects, confusion, and flinching.  The effects of smelling salts and wake up slap do not trigger against a doll, even if the Pokémon behind the doll has the appropriate major status effect.  Multi-turn trapping moves like wrap will hit the doll for their regular damage, but the multi-turn trapping and damage effects will not activate.

Moves blocked or damage absorbed by the doll do not count as hitting the user or inflicting damage for any effects that respond to such, e.g., avalanche, counter, or a rowap berry.  magic coat still works as normal, even against moves the doll would block.  Opposing Pokémon that damage the doll with a leech move like absorb are healed as normal.

It will also block acupressure, block, the curse effect of curse, dream eater, embargo, flatter, gastro acid, grudge, heal block, leech seed, lock on, mean look, mimic, mind reader, nightmare, pain split, psycho shift, spider web, sketch, swagger, switcheroo, trick, worry seed, and yawn.  A Pokémon affected by yawn before summoning the doll will still fall to sleep.

The doll blocks intimidate, but all other abilities act as though the doll did not exist.  If the user has an ability that absorbs moves of a certain type for HP (such as volt absorb absorbing thunder wave), such moves will not be blocked.

life orb and berries that cause confusion still work as normal, but their respective HP loss and confusion are absorbed/blocked by the doll.

The user is still vulnerable to damage inflicted when entering or leaving the field, such as by pursuit or spikes; however, the doll will block the poison effect of toxic spikes.

The doll is passed on by baton pass.  It keeps its existing HP, but uses the replacement Pokémon’s stats and types for damage calculation.

All other effects work as normal.","Transfers 1/4 of the user’s max HP into a doll, protecting the user from further damage or status changes until it breaks.",
165,struggle,,50.0,normal,1,,0,physical,generation-i,"Inflicts typeless regular damage.  User takes 1/4 its max HP in recoil.  Ignores accuracy and evasion modifiers.

This move is used automatically when a Pokémon cannot use any other move legally, e.g., due to having no PP remaining or being under the effect of both encore and torment at the same time.

This move’s recoil is not treated as recoil for the purposes of anything that affects recoil, such as the ability rock head.  It also is not prevented by magic guard.

This move cannot be copied by mimic, mirror move, or sketch, nor selected by assist or metronome, nor forced by encore.",User takes 1/4 its max HP in recoil.,
166,sketch,,,normal,1,,0,status,generation-ii,"Permanently replaces itself with the target’s last used move.  If that move is chatter or struggle, this move will fail.

This move cannot be copied by mimic or mirror move, nor selected by assist or metronome, nor forced by encore.",Permanently becomes the target’s last used move.,
167,triple-kick,90.0,10.0,fighting,10,,0,physical,generation-ii,"Inflicts regular damage.  Hits three times in the same turn.  The second hit has double power, and the third hit has triple power.  Each hit has a separate accuracy check, and this move stops if a hit misses.

skill link does not apply.","Hits three times, increasing power by 100% with each successful hit.",
168,thief,100.0,60.0,dark,25,,0,physical,generation-ii,"Inflicts regular damage.  If the target is holding an item and the user is not, the user will permanently take the item.  Damage is still inflicted if an item cannot be taken.

Pokémon with sticky hold or multitype are immune to the item theft effect.

The target cannot recover its item with recycle.

This move cannot be selected by assist or metronome.",Takes the target’s item.,
169,spider-web,,,bug,10,,0,status,generation-ii,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.

The target may still escape by using baton pass, u turn, or a shed shell.

Both the user and the target pass on this effect with baton pass.",Prevents the target from leaving battle.,
